City,State,Latitude,Longitude
Berlin, Berlin,52.517,13.3889
Hamburg, Hamburg,53.5503,10.0007
Munich, Bavaria,48.1371,11.5754
Cologne, North Rhine-Westphalia,50.9384,6.96
Frankfurt, Hesse,50.1106,8.6821
Stuttgart, Baden-Württemberg,48.7784,9.18
Dusseldorf, North Rhine-Westphalia,51.2254,6.7763
Leipzig, Saxony,51.3406,12.3747
Dortmund, North Rhine-Westphalia,51.5142,7.4653
Essen, North Rhine-Westphalia,51.4582,7.0158
Bremen, Bremen,53.0758,8.8072
Dresden, Saxony,51.0493,13.7381
Hanover, Lower Saxony,52.3745,9.7386
Nuremberg, Bavaria,49.4539,11.0773
Duisburg, North Rhine-Westphalia,51.435,6.7596
Bochum, North Rhine-Westphalia,51.4818,7.2197
Wuppertal, North Rhine-Westphalia,51.264,7.178
Bielefeld, North Rhine-Westphalia,52.0191,8.531
Bonn, North Rhine-Westphalia,50.7359,7.1007
Münster, North Rhine-Westphalia,51.9625,7.6252
Mannheim, Baden-Württemberg,49.4893,8.4673
Karlsruhe, Baden-Württemberg,49.0069,8.4034
Augsburg, Bavaria,48.3668,10.8987
Wiesbaden, Hesse,50.082,8.2417
Mönchengladbach, North Rhine-Westphalia,51.1947,6.4354
Gelsenkirchen, North Rhine-Westphalia,51.511,7.096
Aachen, North Rhine-Westphalia,50.7764,6.0839
Brunswick, Lower Saxony,52.2647,10.5236
Kiel, Schleswig-Holstein,54.3227,10.1356
Chemnitz, Saxony,50.8323,12.9253
Halle (Saale), Saxony-Anhalt,51.4825,11.9705
Magdeburg, Saxony-Anhalt,52.1316,11.64
Freiburg im Breisgau, Baden-Württemberg,47.9961,7.8494
Krefeld, North Rhine-Westphalia,51.3331,6.5623
Mainz, Rhineland-Palatinate,50.0012,8.2763
Lübeck, Schleswig-Holstein,53.8664,10.6847
Erfurt, Thuringia,50.9778,11.0287
Oberhausen, North Rhine-Westphalia,51.4696,6.8514
Rostock, Mecklenburg-Vorpommern,54.0924,12.1286
Kassel, Hesse,51.3155,9.4924
Hagen, North Rhine-Westphalia,51.3583,7.4733
Potsdam, Brandenburg,52.4009,13.0591
Saarbrücken, Saarland,49.2344,6.9964
Hamm, North Rhine-Westphalia,51.6804,7.8152
Ludwigshafen am Rhein, Rhineland-Palatinate,49.4704,8.4382
Mülheim an der Ruhr, North Rhine-Westphalia,51.4273,6.8829
Oldenburg, Lower Saxony,53.139,8.2146
Osnabrück, Lower Saxony,52.272,8.0476
Leverkusen, North Rhine-Westphalia,51.0325,6.9881
Darmstadt, Hesse,49.8728,8.6512
Heidelberg, Baden-Württemberg,49.4094,8.6947
Solingen, North Rhine-Westphalia,51.1722,7.0846
Herne, North Rhine-Westphalia,51.538,7.22
Regensburg, Bavaria,49.0195,12.0975
Neuss, North Rhine-Westphalia,51.1982,6.6916
Paderborn, North Rhine-Westphalia,51.7177,8.7527
Ingolstadt, Bavaria,48.763,11.425
Offenbach am Main, Hesse,50.1055,8.7611
Fürth, Bavaria,49.4772,10.9894
Ulm, Baden-Württemberg,48.3974,9.9934
Würzburg, Bavaria,49.7925,9.933
Heilbronn, Baden-Württemberg,49.1423,9.2187
Pforzheim, Baden-Württemberg,48.8909,8.703
Wolfsburg, Lower Saxony,52.4206,10.7862
Bottrop, North Rhine-Westphalia,51.5216,6.9292
Göttingen, Lower Saxony,51.5328,9.9352
Reutlingen, Baden-Württemberg,48.4924,9.2089
Koblenz, Rhineland-Palatinate,50.3533,7.5944
Erlangen, Bavaria,49.5929,11.0056
Bremerhaven, Bremen,53.5505,8.5852
Remscheid, North Rhine-Westphalia,51.1799,7.1944
Burscheid, North Rhine-Westphalia,51.0825,7.1212
Herten, North Rhine-Westphalia,51.5942,7.1368
Trier, Rhineland-Palatinate,49.7596,6.6442
Jena, Thuringia,50.9282,11.5879
Moers, North Rhine-Westphalia,51.4513,6.6284
Salzgitter, Lower Saxony,52.1504,10.3593
Siegen, North Rhine-Westphalia,50.875,8.0227
Gütersloh, North Rhine-Westphalia,51.9064,8.3782
Hildesheim, Lower Saxony,52.1522,9.9513
